,X,Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Date
1,3178,FCR,50,2019-5-20 12:00:00,0.1,118.5,4.8,11,3,0,2.6,3.1,5.7,0.1,5/20/19
2,3179,FCR,50,2019-5-20 12:00:00,1.6,NA,NA,4,3,12,3.4,4.9,8.3,0.116,5/20/19
3,3180,FCR,50,2019-5-20 12:00:00,3.8,412,12.9,26,3,4,2.2,2.8,5,0.1,5/20/19
4,3181,FCR,50,2019-5-20 12:00:00,5,379,3.8,11,3,2,2.2,3.2,5.4,0.1,5/20/19
5,3182,FCR,50,2019-5-20 12:00:00,6.2,411,8.9,16,3,4,1.4,2.2,3.6,0.1,5/20/19
6,3183,FCR,50,2019-5-20 12:00:00,8,256.5,11.1,53,3,2,4.4,1.9,6.3,0.2,5/20/19
7,3184,FCR,50,2019-5-20 12:00:00,9,501,54,61,3,3,1.7,3.4,5.1,0.2,5/20/19
8,3185,FCR,50,2019-5-23 12:00:00,0.1,357,5.9,NA,NA,NA,NA,NA,NA,NA,5/23/19
9,3186,FCR,50,2019-5-23 12:00:00,1.6,NA,NA,10,3,11,1.9,4.8,6.7,0.128,5/23/19
10,3187,FCR,50,2019-5-23 12:00:00,5,223.5,9.4,NA,NA,NA,NA,NA,NA,NA,5/23/19
11,3188,FCR,50,2019-5-23 12:00:00,9,380,3.6,NA,NA,NA,NA,NA,NA,NA,5/23/19
12,3191,FCR,50,2019-5-27 12:00:00,0.1,139.5,6,7,3,2,2.6,3.4,6.1,0.1,5/27/19
13,3192,FCR,50,2019-5-27 12:00:00,1.6,323,3.5,6,4,8,2.1,5.1,7.1,0.14,5/27/19
14,3193,FCR,50,2019-5-27 12:00:00,3.8,289.5,13.7,5,0,5,1.1,3.8,4.9,0.1,5/27/19
15,3194,FCR,50,2019-5-27 12:00:00,5,186,6.3,9,0,4,1.4,2.8,4.2,0.1,5/27/19
16,3195,FCR,50,2019-5-27 12:00:00,6.2,198,7.7,4,3,1,2,3.2,5.2,0.1,5/27/19
17,3196,FCR,50,2019-5-27 12:00:00,8,413,8.4,5,3,3,1.9,3.4,5.4,0.1,5/27/19
18,3197,FCR,50,2019-5-27 12:00:00,9,213,9.8,23,3,2,2,3.5,5.5,0.1,5/27/19
19,3206,FCR,50,2019-5-30 12:00:00,0.1,242.8,6.9,14,3,2,4,2.3,6.2,0.15,5/30/19
20,3207,FCR,50,2019-5-30 12:00:00,1.6,NA,NA,NA,NA,NA,1.8,5.2,6.9,0.112,5/30/19
21,3208,FCR,50,2019-5-30 12:00:00,5,387,1.8,NA,NA,NA,NA,NA,NA,NA,5/30/19
22,3209,FCR,50,2019-5-30 12:00:00,9,385.5,22.9,NA,NA,NA,NA,NA,NA,NA,5/30/19
23,3213,FCR,50,2019-6-3 12:00:00,0.1,321,13.7,0,0,6,3,3.2,6.2,0.15,6/3/19
24,3214,FCR,50,2019-6-3 12:00:00,1.6,NA,NA,6,3,10,2,5.3,7.3,0.116,6/3/19
25,3215,FCR,50,2019-6-3 12:00:00,3.8,199.5,6.2,6,3,2,2.3,3.3,5.6,0.1,6/3/19
26,3216,FCR,50,2019-6-3 12:00:00,5,166.5,3.9,10,8,4,3.8,1.9,5.6,0.1,6/3/19
27,3217,FCR,50,2019-6-3 12:00:00,6.2,163.5,4.5,4,0,3,1.4,2.9,4.4,0.2,6/3/19
28,3218,FCR,50,2019-6-3 12:00:00,8,285,13.8,14,0,3,4.4,1.7,6.1,0.1,6/3/19
29,3219,FCR,50,2019-6-3 12:00:00,9,360,17.4,24,3,3,2.5,2.8,5.4,0.1,6/3/19